ROW	COL	N
900	860	16
1	1	0	4	
1	2	-6	4	
1	3	-6	4	
1	4	6	4	
1	5	6	4	
1	6	6	4	
1	7	6	4	
1	8	6	4	
1	9	-6	4	
1	10	-6	4	
1	11	-6	4	
1	12	-6	4	
1	13	-6	4	
1	14	2	4	
1	15	-5	4	
1	16	6	4	
1	17	6	4	
1	18	6	4	
1	19	4	4	
1	20	5	4	
1	21	-6	4	
1	22	5	4	
1	23	-1	4	
1	24	6	4	
1	25	-3	4	
1	26	-6	4	
1	27	5	4	
1	28	-4	4	
1	29	6	4	
1	30	-6	4	
1	31	-4	4	
1	32	6	4	
1	33	-1	4	
1	34	-6	4	
1	35	2	4	
1	36	4	4	
1	37	-6	4	
1	38	-3	4	
1	39	-2	4	
1	40	-5	4	
1	41	-6	4	
1	42	1	4	
1	43	-6	4	
1	44	-6	4	
1	45	0	0	
1	46	0	0	
1	47	0	0	
1	48	0	0	
1	49	0	0	
1	50	0	0	
1	51	0	0	
1	52	1	0	
1	53	-2	1	
2	1	0	6	
2	2	-6	6	
2	3	-6	-3	
2	4	-6	-6	
2	5	6	-6	
2	6	-6	-6	
2	7	6	6	
2	8	-6	6	
2	9	-6	6	
2	10	6	6	
2	11	-6	6	
2	12	3	6	
2	13	-6	6	
2	14	6	6	
2	15	4	6	
2	16	0	4	
2	17	3	6	
2	18	-2	6	
2	19	6	6	
2	20	0	3	
2	21	3	6	
2	22	0	6	
2	23	-5	6	
2	24	-6	6	
2	25	-5	6	
2	26	-6	6	
2	27	-6	4	
2	28	-6	6	
2	29	-3	0	
2	30	6	6	
2	31	-2	-1	
2	32	-6	6	
2	33	6	-2	
2	34	-4	-1	
2	35	-2	0	
2	36	-2	0	
2	37	-2	0	
2	38	-1	0	
2	39	-1	0	
2	40	-1	0	
2	41	-1	0	
2	42	0	0	
2	43	0	0	
2	44	0	0	
2	45	0	0	
2	46	0	0	
2	47	1	0	
2	48	0	0	
2	49	0	0	
2	50	0	0	
2	51	0	0	
2	52	0	0	
2	53	6	-6	
3	1	0	6	
3	2	3	6	
3	3	-6	6	
3	4	-6	1	
3	5	6	6	
3	6	1	3	
3	7	6	6	
3	8	-2	6	
3	9	-6	4	
3	10	6	6	
3	11	0	0	
3	12	-6	6	
3	13	-6	6	
3	14	-2	0	
3	15	-3	-1	
3	16	6	6	
3	17	2	6	
3	18	-3	0	
3	19	6	1	
3	20	-3	0	
3	21	-6	6	
3	22	0	6	
3	23	-6	6	
3	24	-1	6	
3	25	-4	0	
3	26	-3	0	
3	27	-3	0	
3	28	6	4	
3	29	-5	5	
3	30	-3	0	
3	31	-2	0	
3	32	-6	0	
3	33	6	2	
3	34	-3	0	
3	35	-6	6	
3	36	-3	0	
3	37	6	-2	
3	38	-1	-4	
3	39	-1	0	
3	40	-1	0	
3	41	-1	0	
3	42	0	0	
3	43	0	0	
3	44	0	0	
3	45	1	-1	
3	46	1	-1	
3	47	0	0	
3	48	0	0	
3	49	0	0	
3	50	0	0	
3	51	0	0	
3	52	0	0	
3	53	6	4	
4	1	0	0	
4	2	-3	6	
4	3	0	6	
4	4	-6	6	
4	5	0	0	
4	6	6	6	
4	7	6	6	
4	8	0	0	
4	9	0	0	
4	10	1	5	
4	11	-6	5	
4	12	-1	6	
4	13	6	6	
4	14	5	-4	
4	15	-4	-1	
4	16	-4	-1	
4	17	-6	-6	
4	18	5	6	
4	19	6	6	
4	20	3	6	
4	21	-4	-1	
4	22	-5	-1	
4	23	-6	6	
4	24	6	6	
4	25	1	5	
4	26	-6	4	
4	27	-3	0	
4	28	6	-5	
4	29	-4	0	
4	30	1	-5	
4	31	-4	0	
4	32	-4	0	
4	33	-4	0	
4	34	-4	0	
4	35	3	5	
4	36	-5	5	
4	37	-4	1	
4	38	-2	0	
4	39	4	6	
4	40	-2	1	
4	41	-2	1	
4	42	-1	1	
4	43	0	0	
4	44	0	0	
4	45	0	0	
4	46	1	0	
4	47	0	0	
4	48	0	0	
4	49	1	-1	
4	50	0	0	
4	51	0	0	
4	52	0	0	
4	53	6	-6	
5	1	0	4	
5	2	0	0	
5	3	-6	0	
5	4	1	0	
5	5	0	0	
5	6	-6	-6	
5	7	-5	-6	
5	8	0	0	
5	9	0	0	
5	10	6	-6	
5	11	1	-6	
5	12	-6	-4	
5	13	-3	-1	
5	14	3	3	
5	15	-4	-1	
5	16	-3	-1	
5	17	-5	-1	
5	18	-4	-1	
5	19	-6	-6	
5	20	-4	-1	
5	21	-5	-1	
5	22	-4	-1	
5	23	-4	-1	
5	24	6	-6	
5	25	-4	-6	
5	26	6	1	
5	27	-4	0	
5	28	-4	0	
5	29	6	3	
5	30	-4	0	
5	31	4	-1	
5	32	-4	0	
5	33	2	6	
5	34	-5	0	
5	35	4	-6	
5	36	6	-2	
5	37	-4	1	
5	38	-4	1	
5	39	-4	1	
5	40	3	2	
5	41	-3	2	
5	42	-2	1	
5	43	-1	1	
5	44	-1	0	
5	45	0	0	
5	46	0	0	
5	47	0	0	
5	48	0	0	
5	49	0	0	
5	50	0	-1	
